id;location
0;location_17
1;location_29
2;location_21
3;location_17
4;location_11
5;location_24
6;location_11
7;location_51
9;location_9
10;location_38
11;unknown
12;location_19
13;location_56
14;location_0
15;location_0
16;location_0
18;location_36
19;location_48
20;location_65
21;unknown
22;unknown
23;location_36
24;location_1
26;unknown
28;location_16
30;location_5
31;location_36
32;location_12
33;location_19
34;location_0
35;location_22
36;location_21
37;location_22
39;location_27
40;location_8
41;location_11
42;location_28
43;location_0
44;unknown
45;location_26
46;location_3
47;location_1
48;location_6
51;location_12
52;location_68
55;location_2
56;unknown
57;location_4
58;location_13
60;location_2
61;location_1
62;location_25
63;location_1
65;location_8
67;location_1
68;location_43
69;location_1
70;location_65
72;location_65
73;location_21
74;location_32
75;location_0
76;location_5
77;location_1
78;location_6
79;location_1
80;location_6
81;unknown
82;location_0
83;location_27
84;location_18
85;location_5
86;location_16
87;location_1
88;location_19
89;location_56
90;location_6
92;location_1
93;unknown
94;location_5
95;location_2
96;location_20
99;location_0
100;location_26
101;location_5
103;location_62
104;location_4
105;location_19
106;location_20
107;location_19
108;location_3
109;unknown
110;location_12
111;location_44
113;location_6
114;location_40
116;location_49
117;location_19
118;location_49
119;location_27
120;location_30
122;location_61
123;location_24
124;location_11
125;unknown
126;location_0
127;location_6
128;location_25
130;location_22
131;location_11
132;location_1
133;location_6
135;location_20
136;location_19
137;location_24
138;location_24
139;location_11
140;location_51
141;location_8
142;location_11
143;location_51
144;unknown
145;location_28
147;location_55
148;location_29
149;location_70
151;location_47
152;location_2
153;location_22
154;unknown
155;location_45
156;location_39
157;unknown
158;location_10
159;location_0
161;location_12
162;location_30
163;location_47
164;location_65
165;location_46
166;location_0
167;location_8
168;location_31
169;location_2
170;location_16
171;location_0
172;location_3
173;location_0
174;location_38
175;location_3
177;location_56
178;location_28
179;location_0
